geo
"[39.52069232, -105.25145232]"
"[34.1675186, -118.3755569]"
"[37.23317106, -80.42078364]"
"[33.399, -84.5706]"
"[42.009436, -71.493615]"
"[38.2094, -85.6861]"
"[40.75873044, -73.97910186]"
"[39.1052, -84.4842]"
"[40.32289, -75.13451]"
"[28.044839, -82.680767]"
"[38.6052309, -90.5535734]"
"[47.8982018, -122.208173]"
"[40.76451, -73.98972]"
"[35.9982, -86.7926]"
"[40.7643013, -73.9837875]"
"[38.4401681, -122.717091]"
"[43.8401592, -79.1232982]"
"[37.781157, -122.39872]"
"[38.06, -97.93]"
"[36.14560522, -80.30038966]"
"[34.08493, -118.3267449]"
"[33.81943693, -84.27274053]"
"[34.0928092, -118.3286614]"
"[40.6548713, -74.0064354]"
"[36.06372, -115.0317]"
"[25.68936045, -100.24821884]"
"[37.784827, -122.727802]"
"[34.0522, -118.243]"
"[34.17204457, -118.38695526]"
"[42.1250929, -72.749538]"
"[29.7506381, -95.4975599]"
"[34.2687176, -119.2487706]"
"[37.6587175, -122.4037935]"
"[32.7554883, -97.3307658]"
"[34.0739016, -117.3136547]"
"[37.6587175, -122.4037935]"
"[32.0925, -96.4694]"
"[34.0211224, -118.3964665]"
"[35.5799, -82.5558]"
"[43.7229529, -79.403159]"
"[43.7229529, -79.403159]"
"[41.7101909, -111.8349363]"
"[32.7574, -97.3332]"
"[40.28946314, -76.8971969]"
"[40.7142, -74.0064]"
"[40.7048097, -73.99575035]"
"[35.310054, -80.749656]"
"[32.0925, -96.4694]"
"[43.68059921, -79.61174011]"
"[33.54257, -117.78428]"
"[25.92643034, -80.3010554]"
"[40.7595926, -73.7727832]"
"[40.8026972, -74.1461803]"
"[31.7902, -106.423]"
"[37.9100783, -122.0651819]"
"[46.0, -66.0]"
"[37.5407246, -77.4360481]"
"[40.30515, -78.91654]"
"[33.7378486, -84.420197]"
"[43.7166, -79.3407]"
"[40.8424, -73.8893]"
"[40.7207559, -74.0007613]"
"[34.11722, -118.26223]"
"[34.02322421, -84.42256916]"
"[34.04330794, -118.26726543]"
"[37.5202145, -122.2758008]"
"[37.9085357, -121.6002291]"
"[33.77348479, -84.66334049]"
"[31.0723354, -97.7383833]"
"[40.4313474, -80.0505398]"
"[32.87307029, -96.76701754]"
"[40.763186, -73.994508]"
"[41.163648, -73.369388]"
"[41.163648, -73.369388]"
"[36.7468422, -119.7725868]"
"[38.991167, -77.038226]"
"[40.4468129, -79.8919463]"
"[25.68633, -100.25123]"
"[39.52069232, -105.25145232]"
"[39.18884047, -106.82131752]"
"[40.7492825, -73.9975109]"
"[37.54889, -84.31028]"
"[40.7142, -74.0064]"
"[36.175, -115.136]"
"[39.7392358, -104.990251]"
"[41.62374255, -73.39728934]"
"[43.216505, -123.3417381]"
"[34.7464809, -92.2895948]"
"[47.313, -122.339]"
"[42.496927, -83.4190526]"
"[33.8883487, -118.3089624]"
"[38.7631, -93.735]"
"[26.00821615, -80.15392333]"
"[38.5815719, -121.4943996]"
"[39.13333333, -84.5]"
"[38.8951, -77.0367]"
"[39.0042, -77.019]"
"[47.6587802, -117.4260466]"
"[42.12, -72.75]"
"[38.87964887, -77.10658774]"
"[42.7774277, -88.5545959]"
"[42.28333333, -71.35]"
"[42.95416667, -81.435]"
"[40.76451, -73.98972]"
"[45.66392, -110.5579]"
"[40.0068, -75.1429]"
"[39.965, -75.13555556]"
"[41.8811951, -87.6744087]"
"[42.33306483, -71.10162765]"
"[29.9584426, -90.0644107]"
"[42.62071, -73.72788]"
"[27.99726538, -82.76311016]"
"[33.09720569, -96.79910641]"
"[33.9191799, -118.4164652]"
"[37.3418692, -121.8422388]"
"[37.7749295, -122.4194155]"
"[40.69416667, -73.91861111]"
"[45.5703348, -122.7171287]"
"[29.8477222, -94.890758]"
"[35.1205233, -120.6136186]"
"[42.08272376, -72.56546371]"
"[25.88836646, -80.12466663]"
"[38.61537, -121.32952]"
"[40.75941726, -73.96095881]"
"[43.1, -79.05]"
"[33.1413, -96.8131]"
"[33.38151639, -111.80707374]"
"[42.3, -71.8]"
"[43.9068323, -78.8114783]"
"[35.1483, -120.648]"
"[32.6606, -97.0249]"
"[36.0, -86.0]"
"[41.99654748, -87.88019438]"
"[29.7629, -95.3832]"
"[34.67749163, -77.34488499]"
"[39.70891286, -105.06098129]"
"[36.89, -76.38]"
"[33.7489954, -84.3879824]"
"[37.3167177, -79.9623534]"
"[36.0, -86.0]"
"[33.1384488, -96.1108066]"
"[25.957767, -80.238693]"
"[34.0522342, -118.2436849]"
"[33.30656, -111.72218]"
"[40.756096, -73.987548]"
"[27.9814701, -82.8267593]"
"[39.52069232, -105.25145232]"
"[40.7779, -73.9675]"
"[25.8605, -80.294]"
"[45.551617, -122.675405]"
"[47.71068, -122.17069]"
"[47.8058853, -122.2073043]"
"[34.20046459, -118.55500897]"
"[38.26099741, -85.81868516]"
"[40.9461, -73.0622]"
"[47.4668384, -122.3405305]"
"[32.77039727, -117.01664992]"
"[39.998, -75.1448]"
"[41.65823, -83.54586]"
"[37.784827, -122.727802]"
"[33.77121024, -118.19224834]"
"[40.6221555, -75.3626419]"
"[30.7113, -95.5484]"
"[38.915562, -94.671837]"
"[45.5230622, -122.6764816]"
"[34.083836, -118.177696]"
"[29.6869018, -95.2915725]"
"[33.8565, -118.377]"
"[29.74005759, -95.46357311]"
"[40.76451, -73.98972]"
"[37.77722222, -122.41111111]"
"[36.10195599, -115.17410869]"
"[38.889401, -77.035244]"
"[37.7749295, -122.4194155]"
"[36.778261, -119.4179324]"
"[37.5943, -122.507]"
"[25.69799, -80.16359]"
"[33.6518, -112.397]"
"[37.775, -122.418]"
"[34.8308, -89.9936]"
"[39.0983, -94.5853]"
"[40.0194, -105.259]"
"[34.0006, -81.0442]"
"[40.7142, -74.0064]"
"[40.8289, -73.6867]"
"[42.22782, -88.13063]"
"[34.06, -118.13]"
"[34.0522, -118.243]"
"[39.568, -105.00237]"
"[25.95735013, -80.23753166]"
"[45.5244, -73.577]"
"[33.9069, -118.083]"
"[39.0780716, -108.5716705]"
"[39.52069232, -105.25145232]"
"[39.9869392, -75.09728107]"
"[36.7698666, -108.1662605]"
"[40.72628, -73.98158]"
"[40.7142, -74.0064]"
"[43.64552, -79.38031]"
"[41.8937752, -72.4605221]"
"[33.58010949, -117.66424791]"
"[45.5230622, -122.6764816]"
"[33.35, -111.789]"
"[42.78418152, -86.11195152]"
"[38.8869122, -77.03947619]"
"[35.426667, -116.89]"
"[43.815478, -79.342099]"
"[40.80066, -73.94393]"
"[40.75873044, -73.97910186]"
"[40.92, -74.17]"
"[40.748492, -73.984851]"
"[44.0403217, -123.0893108]"
"[45.5230622, -122.6764816]"
"[40.2217, -74.7561]"
"[40.6595, -73.9548]"
"[37.3238297, -121.9257431]"
"[40.74208978, -73.98823897]"
"[39.4762426, -119.7956237]"
"[35.93338427, -86.9379428]"
"[32.7833, -96.8]"
"[33.7714, -84.2978]"
"[37.6864, -122.468]"
"[41.0, -77.5]"
"[34.0522, -118.243]"
"[40.3572976, -74.6672226]"
"[39.0594, -76.6483]"
"[34.54574047, -112.46762868]"
"[40.7048097, -73.99575035]"
"[34.04534017, -118.25115641]"
"[33.8268823, -84.31328726]"
"[44.9837357, -93.2532067]"
"[28.45320968, -81.47599142]"
"[37.5364134, -122.2455364]"
"[39.7589478, -84.1916069]"
"[32.7947731, -116.9625269]"
"[34.24661884, -118.2775275]"
"[33.501896, -111.921471]"
"[36.13551791, -115.15227556]"
"[25.75898014, -100.26497736]"
"[41.65, -83.54]"
"[37.77469634, -121.80902848]"
"[34.0522, -118.243]"
"[39.4492, -76.4139]"
"[36.7468422, -119.7725868]"
"[36.102171, -115.156809]"
"[27.8092229, -82.7751622]"
"[41.88062711, -87.67397773]"
"[29.2858129, -81.0558894]"
"[41.817807, -88.1734021]"
"[34.2012986, -86.8079691]"
"[37.7749295, -122.4194155]"
"[32.5129317, -92.1561531]"
"[36.65683, -121.2692]"
"[34.8936, -82.3011]"
